Arowaks;-;K
arrestantenlokaal;-;K
arrestantenwagen;-;K
ars;-;V
arteriogram;-;K
artes;-;V
Arthursage;-;K
artiestencafé;-;K
artillerieduel;-;K
arts-assistente;-;K
asbestweg;-;K
asbestwegen;-;F
Asen;-;K
asfaltdakwerk;-;K
Asjkenazi;-;K
aspectenonderzoek;-;K
aspergersyndroom;-;K
assemblagebedrijf;-;K
Assembleecommissie;-;K
Assembleevergadering;-;K
assepoestercomplex;-;K
assyriologie;-;K
assyriologisch;-;K
astaat;-;K
astronautenkorps;-;K
astroturf;-;K
atechnisch;-;K
atelierhouder;-;K
atlashert;-;K
atletenmakelaar;-;K
ATM-kaart;-;K
atoomdeskundige;-;K
atriumfibrilleren;-;K
at-teken;-;K
attila;-;K
Aucaans;-;K
Aucaner;-;K
audiocolumn;-;K
audiotoer;-;K
audiowandeling;-;K
auditiezaal;-;K
augustijns;-;K
auralezen;-;K
Auschwitzleugen;-;K
auslaut;-;K
aussie-Engels;-;K
auteursrechtenbureau;-;K
autocarrosserie;-;K
autocombiregeling;-;K
autofusie;-;K
autoglas;-;K
autoglasservice;-;K
autoherstelplaats;-;K
auto-import;-;K
autolijn;-;K
autonomieakkoord;-;K
autopootje;-;K
autoreply;-;K
autoreverse;-;K
autoslot;-;K
autoslotspray;-;K
autostradebrug;-;K
autotelefoonverkeer;-;K
autoverschrikker;-;K
autowedstrijd;-;K
autowegenvignet;-;K
autozoektocht;-;K
avonddis;-;K
avondgodsdienstoefening;-;K
avondmist;-;K
avondnevel;-;K
avondpauwoog;-;K
avonturistisch;-;K
awara;-;K
awari;-;K
AWW;-;K
Az.;-;K
azertyklavier;-;K
Azteeks;-;K
azuki;-;K
B-52-bommenwerper;-;K
bètastralen;-;K
bètaverval;-;K
baanderen;-;K
baanlijn;-;K
baantjestrekker;-;K
baanwijs;-;K
baardmees;-;K
baardmos;-;K
baardstoppel;-;K
baarmoederkoek;-;K
babi pangang;-;K
babiroesa;-;K
babs;-;V
babyaap;-;K
babybond;-;K
babybus;-;K
babyeczeem;-;K
babymaïs;-;K
babymais;-;K
backlist;-;K
backstagepasje;-;K
back-upbestand;-;K
bacovenwinkel;-;K
bacteriecel;-;K
bacterieflora;-;K
bacteriocide;-;K
badhandje;-;K
badjing;-;K
badkamertegel;-;K
badmintonploeg;-;K
badmintonselectie;-;K
badmintonshuttle;-;K
badmintontoernooi;-;K
badmintonwereld;-;K
bagageafdeling;-;K
bakabana;-;K
bakkersleerling;-;K
baklap;-;K
baksis;-;K
baksjisj;-;K
baksteenfabriek;-;K
